#,PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %
92,Chittorgarh,21,GEN,Rajasthan,Chandra Prakash Joshi,Bharatiya Janta Party,1982095,1458760,74.5,576247.00,39.5
93,Berhampur,20,GEN,Orissa,Chandra Sekhar Sahu,Biju Janata Dal,1433671,989910,70.1,94844.00,9.6
94,Keonjhar,4,ST,Orissa,Chandrani Murmu,Biju Janata Dal,1449996,1176292,82.5,66203.00,5.6
95,Dhar,25,ST,Madhya Pradesh [2000 Onwards],Chattarsingh Darbar,Bharatiya Janta Party,1752846,1344132,77.7,156029.00,11.6
96,Kheda,17,GEN,Gujarat,Chauhan Devusinh,Bharatiya Janta Party,1697520,1098633,65.8,367145.00,33.4
97,Kachchh,1,SC,Gujarat,Chavda Vinod Lakhamshi,Bharatiya Janta Party,1949895,1023198,53.4,305513.00,29.9
98,Sasaram,34,SC,Bihar [2000 Onwards],Chhedi Paswan,Bharatiya Janta Party,1771935,974749,56.1,165745.00,17
99,Namakkal,16,GEN,Tamil Nadu,Chinraj A.K.P,Dravida Munetra Kazhagam,1383282,1133774,83.1,265151.00,23.4
100,Amalapuram,7,,Andhra Pradesh [2014 Onwards],Chinta Anuradha,Yuvajana Sramika Rythu Congress Party,1156280,1232895,108.1,39795.00,3.2
101,Jamui,40,SC,Bihar [2000 Onwards],Chirag Kumar Paswan,Lok Jan Shakti Party,1709356,949137,57.8,241049.00,25.4
102,Khagaria,25,GEN,Bihar [2000 Onwards],Choudhary Mehboob Ali Kaiser,Lok Jan Shakti Party,1653928,966813,58.9,248570.00,25.7
103,Mathurapur,20,SC,West Bengal,Choudhury Mohan Jatua,All India Trinamool Congress,1810407,1401953,77.8,203974.00,14.5
104,Junagadh,13,GEN,Gujarat,Chudasama Rajeshbhai Naranbhai,Bharatiya Janta Party,1576209,1005224,64.8,150185.00,14.9
